dim_height,dim_width,dim_depth,dim_weight,display_size,num_usb,num_hdmi,display_type,energyclass,display_resolution,dim_color,smart,usb,wifi,dim_density,display_pixeldensity,display_relativeenergy,is_company_tcl,is_company_lg,is_company_hisense,is_company_dyras,is_company_samsung,is_company_sony,is_company_tesla,is_company_philips,is_company_panasonic,is_company_loewe,is_company_gaba,is_company_nokia,is_company_vortex,is_company_smart,is_company_strong,price,serial_id
46.9,71.7,16.0,3.7,32.0,2.0,2.0,4.0,6.0,3.0,6.0,0,1,1,6.876853033101081e-05,0.0008921322853752754,0.5714285714285714,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55998.999,237964
59.98,96.55,20.56,8.9,43.0,2.0,3.0,2.0,6.0,1.0,,1,1,1,7.474947672561089e-05,0.00017267969005377073,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134999.0061,248889
,,,,55.0,2.0,4.0,2.0,6.0,1.0,6.0,0,1,1,,,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,226199.0015,234483
89.7,145.1,29.0,,65.0,2.0,4.0,2.0,5.0,1.0,,1,1,1,,7.683164726283416e-05,0.3333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,293699.0062,269088
118.0,189.0,39.0,41.3,85.0,1.0,3.0,4.0,6.0,1.0,6.0,1,1,1,4.748338081671415e-05,4.483902788987535e-05,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,401699.0061,248865
,,,,75.0,3.0,4.0,2.0,6.0,0.0,6.0,1,1,1,,,0.14285714285714285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2249910.0036,283497
57.7,93.2,17.0,9.3,42.0,,,3.0,6.0,1.0,,1,1,1,0.0001017284205579793,0.00018595517736404816,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,364999.0033,270729
71.1,123.3,7.4,17.5,55.0,2.0,3.0,4.0,6.0,1.0,2.0,1,1,1,0.0002697575767273017,0.0001140689181589733,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,179999.005,258127
71.91,111.68,25.02,11.6,50.0,1.0,3.0,4.0,6.0,1.0,,1,1,1,5.773058918594891e-05,0.000124518908744176,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140398.9953,248888
101.8,167.0,31.3,37.9,75.0,2.0,4.0,2.0,6.0,1.0,,1,1,1,7.12246991169904e-05,5.8821453360469633e-05,0.2857142857142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,899909.9985,283474
